,Lan chay,Begin,End,Time (s),Fitness,W01 (um),L01 (um),C01 (um)
37,38,23:59:34,23:59:34,0.0,2.6604076131551695,1.4304076131502939,0.23,1.0
38,39,23:59:34,23:59:34,0.0,2.660407613150294,1.430407613147856,0.23,1.0
39,40,23:59:34,23:59:34,0.0,2.6604076131478562,1.430407613146637,0.23,1.0
40,41,23:59:34,23:59:34,0.0,2.6604076131466368,1.4304076131460275,0.23,1.0
41,42,23:59:34,23:59:34,0.0,2.6604076131460275,1.4304076131457228,0.23,1.0
42,43,23:59:34,23:59:34,0.0,2.660407613145723,1.4304076131455705,0.23,1.0
43,44,23:59:34,23:59:34,0.0,2.6604076131455705,1.4304076131454944,0.23,1.0
44,45,23:59:34,23:59:34,0.0,2.6604076131454946,1.4304076131454562,0.23,1.0
45,46,23:59:34,23:59:34,0.0,2.6604076131454564,1.430407613145437,0.23,1.0
46,47,23:59:34,23:59:34,0.0,2.660407613145437,1.4304076131454275,0.23,1.0
47,48,23:59:34,23:59:34,0.0,2.6604076131454275,1.4304076131454229,0.23,1.0
48,49,23:59:34,23:59:34,0.0,2.6604076131454226,1.4304076131454204,0.23,1.0
49,50,23:59:34,23:59:34,0.0,2.6604076131454204,1.4304076131454193,0.23,1.0
50,51,23:59:34,23:59:34,0.0,2.660407613145419,1.4304076131454186,0.23,1.0
51,52,23:59:34,23:59:34,0.0,2.6604076131454186,1.4304076131454184,0.23,1.0
52,53,23:59:34,23:59:34,0.0,2.660407613145418,1.4304076131454182,0.23,1.0
53,54,23:59:34,23:59:34,0.0,2.660407613145418,1.4304076131454186,0.23,1.0
54,55,23:59:34,23:59:34,0.0,2.660407613145418,1.4304076131454186,0.23,1.0
55,56,23:59:34,23:59:34,0.0,2.660407613145418,1.4304076131454182,0.23,1.0
56,57,23:59:34,23:59:34,0.0,2.660407613145418,1.430407613145418,0.23,1.0
57,58,23:59:34,23:59:34,0.0,2.660407613145418,1.4304076131454186,0.23,1.0
58,59,23:59:34,23:59:34,0.0,2.660407613145418,1.4304076131454186,0.23,1.0
59,60,23:59:34,23:59:34,0.0,2.660407613145418,1.4304076131454182,0.23,1.0
60,61,23:59:34,23:59:34,0.0,2.660407613145418,1.4304076131454182,0.23,1.0
61,62,23:59:34,23:59:34,0.0,2.660407613145418,1.4304076131454184,0.23,1.0
62,63,23:59:34,23:59:34,0.0,2.660407613145418,1.4304076131454184,0.23,1.0
63,64,23:59:34,23:59:34,0.0,2.660407613145418,1.4304076131454184,0.23,1.0
64,65,23:59:34,23:59:34,0.0,2.660407613145418,1.4304076131454184,0.23,1.0
65,66,23:59:34,23:59:34,0.0,2.660407613145418,1.4304076131454184,0.23,1.0
66,67,23:59:34,23:59:35,1.0,2.660407613145418,1.4304076131454184,0.23,1.0
67,68,23:59:35,23:59:35,0.0,2.660407613145418,1.4304076131454184,0.23,1.0
68,69,23:59:35,23:59:35,0.0,2.660407613145418,1.4304076131454184,0.23,1.0
